line,section_or_table,literal,value,category,source_file,source_key_or_derivation,source_value,mapping_scope,status,context
39,(preamble),2,2.0,dataset/config/provenance,train_model_v3/call/results_spot_history_v5/config.json,modes2  [retained modes2 for the history encoders; the same literal is also the '2-D' of the 2-D FNO and the '1-D form' reshaping remark],2.0,global,EXACT,"analytical pricer, with no learned surrogate. A 2-D Fourier Neural Operator encodes the market state"
42,(preamble),10,10.0,dataset/config/provenance,results/spline_boundary_decomposition_v5.json,"results.option_type=call.grid.abs_delta_bounds.0  [the surface grid's lower |delta| and lower tenor (10-day) boundary, which is what most occurrences mean. The same literal is also the 80/10/10 split shares, the +-10%% band in Figure F5, the squared-log-error tail threshold, and min_finetune_epochs=10 in every run's config.json]",10.0,global,EXACT,"quote-quality-filtered SPX options (OptionMetrics via WRDS) split 80/10/10 by trade date, three"
42,(preamble),10,10.0,dataset/config/provenance,results/spline_boundary_decomposition_v5.json,"results.option_type=call.grid.abs_delta_bounds.0  [the surface grid's lower |delta| and lower tenor (10-day) boundary, which is what most occurrences mean. The same literal is also the 80/10/10 split shares, the +-10%% band in Figure F5, the squared-log-error tail threshold, and min_finetune_epochs=10 in every run's config.json]",10.0,global,EXACT,"quote-quality-filtered SPX options (OptionMetrics via WRDS) split 80/10/10 by trade date, three"
42,(preamble),80,80.0,derived statistic,wrds_data_2020-2025/DATASET_MANIFEST.json,"100.0 * J('wrds_data_2020-2025/DATASET_MANIFEST.json','datasets.v5.files.call.splits.train.n_dates') / (J('wrds_data_2020-2025/DATASET_MANIFEST.json','datasets.v5.files.call.splits.train.n_dates') + J('wrds_data_2020-2025/DATASET_MANIFEST.json','datasets.v5.files.call.splits.val.n_dates') + J('wrds_data_2020-2025/DATASET_MANIFEST.json','datasets.v5.files.call.splits.test.n_dates'))  [the '80' of the 80/10/10 date split: 2,128 of 2,661 unique trade dates = 79.97%  [by-line review: train share of the 80/10/10 by-date split]]",79.96993611424277,line,DERIVED,"quote-quality-filtered SPX options (OptionMetrics via WRDS) split 80/10/10 by trade date, three"
44,(preamble),-0.32,-0.32,experiment output,results/ablation_scalar_sigma_v5.json,"rows.option_type=put&model_variant=scalar_sigma.r2_log_filtered  [put scalar-sigma R2(log), canonical CPU evaluator (-0.316871), quoted to two decimals in the abstract, Section results-ablation and the Conclusion because results/ablation_evaluator_consistency_v5.json shows the scalar-sigma log metric is only ~1e-2 reproducible across device paths and decoder precisions (Appendix numstab); Table tab:ablation keeps the six-decimal value  [by-line review: put scalar-sigma control R2(log), quoted to two decimals]]",-0.3168712644166485,line,ROUNDED-OK,state rather than per contract collapses put $R^2(\log)$ from 0.978 to about $-0.32$ and
44,(preamble),0.978,0.978,experiment output,train_model_v3/put/results_vol_surface_v5/metrics.json,"r2_log_filtered  [rounded restatement of the Table T1 put/results_vol_surface_v5 r2_log_filtered  [by-line review: put IV-surface architecture-A R2(log), to three decimals]]",0.9778980973298367,line,ROUNDED-OK,state rather than per contract collapses put $R^2(\log)$ from 0.978 to about $-0.32$ and
45,(preamble),-3.090,-3.09,experiment output,results/ablation_scalar_sigma_v5.json,rows.option_type=put&model_variant=scalar_sigma.r2_price  [rounded restatement of the scalar-sigma ablation put r2_price  [by-line review: put scalar-sigma control R2(price)]],-3.0901904313264055,line,ROUNDED-OK,"$R^2(\text{price})$ to $-3.090$. The surface-conditioned configuration prices best, $R^2(\log) \approx"
46,(preamble),0.90,0.9,experiment output,train_model_v3/put/results_spot_history_don_v5/metrics.json,r2_log_filtered  [rounded restatement of the Table T1 put/results_spot_history_don_v5 r2_log_filtered],0.9015526190235676,global,ROUNDED-OK,0.98$--$0.99$ against $\approx 0.90$--$0.94$ for the historical ones. Autograd partial greeks through
46,(preamble),0.94,0.94,experiment output,train_model_v3/call/results_spot_history_don_v5/metrics.json,r2_log_filtered  [rounded restatement of the Table T1 call/results_spot_history_don_v5 r2_log_filtered],0.9443903992004695,global,ROUNDED-OK,0.98$--$0.99$ against $\approx 0.90$--$0.94$ for the historical ones. Autograd partial greeks through
46,(preamble),0.98,0.98,experiment output,train_model_v3/put/results_vol_surface_v5/metrics.json,r2_log_filtered  [rounded restatement of the Table T1 put/results_vol_surface_v5 r2_log_filtered],0.9778980973298367,global,ROUNDED-OK,0.98$--$0.99$ against $\approx 0.90$--$0.94$ for the historical ones. Autograd partial greeks through
46,(preamble),0.99,0.99,experiment output,train_model_v3/call/results_vol_surface_v5/metrics.json,r2_log_filtered  [rounded restatement of the Table T1 call/results_vol_surface_v5 r2_log_filtered],0.9910440400919907,global,ROUNDED-OK,0.98$--$0.99$ against $\approx 0.90$--$0.94$ for the historical ones. Autograd partial greeks through
48,(preamble),2\times10^{-14},2e-14,derived statistic,"results/greeks_check_{call,put}_v5.json","max(J('results/greeks_check_call_v5.json','delta.max_abs_diff'), J('results/greeks_check_put_v5.json','delta.max_abs_diff'))  ['approximately 2e-14' for delta: the larger of the two option types (1.84e-14)  [by-line review: worst-case delta discrepancy over both option types]]",1.837419105754634e-14,line,DERIVED,$2\times10^{-14}$ (delta) and $2\times10^{-15}$ (vega). Two qualifications apply: the surface
48,(preamble),2\times10^{-15},2e-15,derived statistic,"results/greeks_check_{call,put}_v5.json","max(J('results/greeks_check_call_v5.json','vega.max_abs_diff'), J('results/greeks_check_put_v5.json','vega.max_abs_diff'))  ['approximately 2e-15' for vega: the larger of the two option types (2.12e-15)  [by-line review: worst-case vega discrepancy over both option types]]",2.1163626406917047e-15,line,DERIVED,$2\times10^{-14}$ (delta) and $2\times10^{-15}$ (vega). Two qualifications apply: the surface
107,Introduction,21,21.0,dataset/config/provenance,train_model_v3/call/results_spot_history_v5/config.json,grid_h  [trailing trading days in the SPX/VIX history windows],21.0,global,EXACT,tensors are 21-trading-day windows ending on the target trade date and therefore include that day's
113,Introduction,"766{,}080",766080.0,derived statistic,train_model_v3/call/results_vol_surface_v5/config.json,"J('train_model_v3/call/results_vol_surface_v5/config.json','fno_width') * 11 * 17 * J('train_model_v3/call/results_vol_surface_v5/config.json','latent_dim') + J('train_model_v3/call/results_vol_surface_v5/config.json','latent_dim')  [flattening-projection parameter count for the surface, 11x17 grid branch: fno_width * grid_h * grid_w * latent_dim + latent_dim  [by-line review: IV-surface first-layer flattening-projection parameter count]]",766080.0,line,DERIVED,"whose input width scales with the grid, dominates the count: it holds 766{,}080 parameters (weights"
114,Introduction,11,11.0,dataset/config/provenance,train_model_v3/call/results_vol_surface_v5/config.json,grid_h  [surface grid maturities],11.0,global,EXACT,"and bias) for the $11{\times}17$ surface grid, 430{,}208 for"
114,Introduction,17,17.0,dataset/config/provenance,train_model_v3/call/results_vol_surface_v5/config.json,grid_w  [surface grid delta points],17.0,global,EXACT,"and bias) for the $11{\times}17$ surface grid, 430{,}208 for"
114,Introduction,"430{,}208",430208.0,derived statistic,train_model_v3/call/results_vol_surface_v5/config.json,"J('train_model_v3/call/results_vol_surface_v5/config.json','fno_width') * 21 * 5 * J('train_model_v3/call/results_vol_surface_v5/config.json','latent_dim') + J('train_model_v3/call/results_vol_surface_v5/config.json','latent_dim')  [flattening-projection parameter count for the SPX history, 21x5 grid branch: fno_width * grid_h * grid_w * latent_dim + latent_dim  [by-line review: SPX-history first-layer flattening-projection parameter count]]",430208.0,line,DERIVED,"and bias) for the $11{\times}17$ surface grid, 430{,}208 for"
115,Introduction,21,21.0,dataset/config/provenance,train_model_v3/call/results_spot_history_v5/config.json,grid_h  [trailing trading days in the SPX/VIX history windows],21.0,global,EXACT,"the $21{\times}5$ SPX-history grid, and 344{,}192 for the $21{\times}4$ VIX-history grid, so input"
115,Introduction,21,21.0,dataset/config/provenance,train_model_v3/call/results_spot_history_v5/config.json,grid_h  [trailing trading days in the SPX/VIX history windows],21.0,global,EXACT,"the $21{\times}5$ SPX-history grid, and 344{,}192 for the $21{\times}4$ VIX-history grid, so input"
115,Introduction,"344{,}192",344192.0,derived statistic,train_model_v3/call/results_vol_surface_v5/config.json,"J('train_model_v3/call/results_vol_surface_v5/config.json','fno_width') * 21 * 4 * J('train_model_v3/call/results_vol_surface_v5/config.json','latent_dim') + J('train_model_v3/call/results_vol_surface_v5/config.json','latent_dim')  [flattening-projection parameter count for the VIX history, 21x4 grid branch: fno_width * grid_h * grid_w * latent_dim + latent_dim  [by-line review: VIX-history first-layer flattening-projection parameter count]]",344192.0,line,DERIVED,"the $21{\times}5$ SPX-history grid, and 344{,}192 for the $21{\times}4$ VIX-history grid, so input"
115,Introduction,4,4.0,dataset/config/provenance,train_model_v3/call/results_vol_surface_v5/config.json,modes1  [retained spectral modes (modes1) on the surface grid; the same literal is also the number of FNO blocks and the VIX-history grid width],4.0,global,EXACT,"the $21{\times}5$ SPX-history grid, and 344{,}192 for the $21{\times}4$ VIX-history grid, so input"
115,Introduction,5,5.0,dataset/config/provenance,train_model_v3/call/results_vol_surface_v5/config.json,patience_adam  [early-stopping patience in each phase; the same literal is also the SPX-history grid width (21x5) and Figure F3's 5x9 grid],5.0,global,EXACT,"the $21{\times}5$ SPX-history grid, and 344{,}192 for the $21{\times}4$ VIX-history grid, so input"
166,Related work,2,2.0,dataset/config/provenance,train_model_v3/call/results_spot_history_v5/config.json,modes2  [retained modes2 for the history encoders; the same literal is also the '2-D' of the 2-D FNO and the '1-D form' reshaping remark],2.0,global,EXACT,\paragraph{Neural operators.} The market-state encoder is a 2-D Fourier Neural
203,Market-state encoder,2,2.0,dataset/config/provenance,train_model_v3/call/results_spot_history_v5/config.json,modes2  [retained modes2 for the history encoders; the same literal is also the '2-D' of the 2-D FNO and the '1-D form' reshaping remark],2.0,global,EXACT,The market state is encoded by a 2-D Fourier Neural Operator~\citep{Li2021FNO}: four spectral
204,Market-state encoder,1,1.0,theoretical constant,,"the 1x1-convolution skip connections, the 1-D native form of the history tensors, and the T <= 1 day maturity cut; definitional or config (see 24 hours)  [the 1x1-convolution skip connections, the 1-D native form of the history tensors, and the T <= 1 day maturity cut; definitional or config (see 24 hours)]",1.0,global,EXACT,"convolution blocks with $1{\times}1$-convolution skip connections and SiLU activations, flattened and"
204,Market-state encoder,1,1.0,theoretical constant,,"the 1x1-convolution skip connections, the 1-D native form of the history tensors, and the T <= 1 day maturity cut; definitional or config (see 24 hours)  [the 1x1-convolution skip connections, the 1-D native form of the history tensors, and the T <= 1 day maturity cut; definitional or config (see 24 hours)]",1.0,global,EXACT,"convolution blocks with $1{\times}1$-convolution skip connections and SiLU activations, flattened and"
205,Market-state encoder,128,128.0,dataset/config/provenance,train_model_v3/call/results_vol_surface_v5/config.json,latent_dim  [latent/basis dimension; head and trunk hidden width is the same 128 (config head_hidden)],128.0,global,EXACT,"projected to a 128-dimensional latent vector. We evaluate three candidate market-state inputs, one per"
206,Market-state encoder,1,1.0,theoretical constant,,"the 1x1-convolution skip connections, the 1-D native form of the history tensors, and the T <= 1 day maturity cut; definitional or config (see 24 hours)  [the 1x1-convolution skip connections, the 1-D native form of the history tensors, and the T <= 1 day maturity cut; definitional or config (see 24 hours)]",1.0,global,EXACT,"encoder instance, each reshaped from its native 1-D form to a 2-D grid inside the encoder."
206,Market-state encoder,2,2.0,dataset/config/provenance,train_model_v3/call/results_spot_history_v5/config.json,modes2  [retained modes2 for the history encoders; the same literal is also the '2-D' of the 2-D FNO and the '1-D form' reshaping remark],2.0,global,EXACT,"encoder instance, each reshaped from its native 1-D form to a 2-D grid inside the encoder."
209,Market-state encoder,11,11.0,dataset/config/provenance,train_model_v3/call/results_vol_surface_v5/config.json,grid_h  [surface grid maturities],11.0,global,EXACT,"surface~\citep{OptionMetrics2026Surface} for the \emph{same} trade date, on an $11 \times 17$ (maturity"
209,Market-state encoder,17,17.0,dataset/config/provenance,train_model_v3/call/results_vol_surface_v5/config.json,grid_w  [surface grid delta points],17.0,global,EXACT,"surface~\citep{OptionMetrics2026Surface} for the \emph{same} trade date, on an $11 \times 17$ (maturity"
